name,club,club_rank,age,height,foot,position,nationality,league,league_rank,contract_expires,matches_played,goals,assists,is_international,international_caps,international_goals,trophies,minutes_played,minutes_per_goals,market_value
Redan,Venezia,552,23,1.76,right,Centre-Forward,Suriname,Serie A,4,2026,198,74,18,TRUE,0,0,3,12596,170,800000
Christian Gytkjaer,Venezia,552,34,1.85,right,Centre-Forward,Denmark,Serie A,4,2025,489,202,35,TRUE,9,5,7,32608,161,700000
Magnús Karlsson,Venezia,552,27,1.9,left,Centre-Forward,Iceland,Serie A,4,2025,213,75,9,TRUE,11,2,1,12820,171,200000
Simons,Paris SG,11,21,1.79,right,Attacking Midfield,Netherlands,Ligue 1,5,2027,142,52,42,TRUE,20,2,7,10527,202,80000000
Kang-in Lee,Paris SG,11,23,1.73,left,Attacking Midfield,"Korea, South",Ligue 1,5,2028,200,20,21,TRUE,29,9,5,11060,553,25000000
Gharbi,Paris SG,11,20,1.73,right,Attacking Midfield,Spain,Ligue 1,5,2025,84,34,19,TRUE,6,1,2,5531,163,7500000
Senny Mayulu,Paris SG,11,18,1.83,right,Attacking Midfield,France,Ligue 1,5,2027,39,9,9,TRUE,8,2,3,2495,277,5000000
Bradley Barcola,Paris SG,11,21,1.82,right,Left Winger,France,Ligue 1,5,2028,124,20,27,TRUE,5,0,3,7155,358,50000000
Ousmane Dembélé,Paris SG,11,27,1.78,right,Right Winger,France,Ligue 1,5,2028,306,68,84,TRUE,49,5,13,19395,285,60000000
Marco Asensio,Paris SG,11,28,1.82,left,Right Winger,Spain,Ligue 1,5,2026,410,77,63,TRUE,38,2,22,22897,297,20000000
Gonçalo Ramos,Paris SG,11,23,1.85,right,Centre-Forward,Portugal,Ligue 1,5,2028,201,82,23,TRUE,14,8,9,11995,146,50000000
Randal Kolo Muani,Paris SG,11,25,1.87,right,Centre-Forward,France,Ligue 1,5,2028,231,74,48,TRUE,22,5,5,16539,224,45000000
Aleksandr Golovin,Monaco,34,28,1.78,right,Attacking Midfield,Russia,Ligue 1,5,2026,362,49,55,TRUE,48,6,3,25293,516,30000000
Maghnes Akliouche,Monaco,34,22,1.83,left,Attacking Midfield,France,Ligue 1,5,2028,72,12,8,TRUE,2,0,0,3641,303,25000000
Eliesse Ben Seghir,Monaco,34,19,1.78,right,Attacking Midfield,Morocco,Ligue 1,5,2027,42,9,6,TRUE,4,1,0,2005,223,15000000
Félix Lemaréchal,Monaco,34,20,1.8,right,Attacking Midfield,France,Ligue 1,5,2027,67,4,7,TRUE,2,0,0,4192,148,5000000
Takumi Minamino,Monaco,34,29,1.72,right,Left Winger,Japan,Ligue 1,5,2026,405,107,64,TRUE,59,21,14,24031,225,20000000
Krépin Diatta,Monaco,34,25,1.75,right,Right Winger,Senegal,Ligue 1,5,2025,219,36,27,TRUE,42,2,4,13913,386,12000000
Folarin Balogun,Monaco,34,23,1.78,right,Centre-Forward,United States,Ligue 1,5,2028,205,110,32,TRUE,15,5,1,14085,128,30000000
Breel Embolo,Monaco,34,27,1.87,right,Centre-Forward,Switzerland,Ligue 1,5,2026,335,90,55,TRUE,68,15,3,19992,222,12000000
George Ilenikhena,Monaco,34,17,1.85,left,Centre-Forward,France,Ligue 1,5,2030,84,33,1,FALSE,0,0,1,3485,106,10000000
Myron Boadu,Monaco,34,23,1.81,right,Centre-Forward,Netherlands,Ligue 1,5,2026,193,66,21,TRUE,1,1,0,11077,168,5000000
Rayan Cherki,Olympique Lyon,65,20,1.8,right,Attacking Midfield,France,Ligue 1,5,2025,165,28,27,TRUE,2,0,0,8151,291,25000000
Saïd Benrahma,Olympique Lyon,65,28,1.72,right,Left Winger,Algeria,Ligue 1,5,2027,354,79,62,TRUE,28,2,1,21751,275,20000000
Malick Fofana,Olympique Lyon,65,19,1.69,right,Left Winger,Belgium,Ligue 1,5,2028,98,13,11,TRUE,8,0,0,5036,387,15000000
Ernest Nuamah,Olympique Lyon,65,20,1.78,left,Right Winger,Ghana,Ligue 1,5,2028,87,24,7,TRUE,12,3,0,5750,240,18000000
Georges Mikautadze,Olympique Lyon,65,23,1.76,right,Centre-Forward,Georgia,Ligue 1,5,2028,148,82,17,TRUE,29,13,4,12039,147,20000000
Gift Orban,Olympique Lyon,65,22,1.78,right,Centre-Forward,Nigeria,Ligue 1,5,2028,92,54,9,TRUE,0,0,2,5806,108,15000000
Alexandre Lacazette,Olympique Lyon,65,33,1.75,right,Centre-Forward,France,Ligue 1,5,2025,555,253,87,TRUE,2,1,8,39365,156,9000000
Mama Baldé,Olympique Lyon,65,28,1.76,right,Centre-Forward,Guinea-Bissau,Ligue 1,5,2026,256,44,24,TRUE,29,5,1,17392,395,4000000
Amin Sarr,Olympique Lyon,65,23,1.88,right,Centre-Forward,Sweden,Ligue 1,5,2027,113,22,10,TRUE,10,3,2,6493,295,4000000
Amine Harit,Marseille,68,27,1.8,right,Attacking Midfield,Morocco,Ligue 1,5,2027,247,22,39,TRUE,24,1,1,16588,754,15000000
Luis Henrique,Marseille,68,22,1.81,right,Left Winger,Brazil,Ligue 1,5,2025,163,10,15,FALSE,0,0,0,7433,743,8000000
Ben Seghir,Marseille,68,21,1.77,right,Left Winger,France,Ligue 1,5,2025,79,9,3,TRUE,9,0,0,3979,442,400000
Mason Greenwood,Marseille,68,22,1.81,right,Right Winger,England,Ligue 1,5,2029,212,89,30,TRUE,1,0,0,14196,160,25000000
Sarr,Crystal Palace,68,26,1.85,right,Right Winger,Senegal,Premier League,1,2029,276,62,49,TRUE,64,13,2,20983,338,18000000
Mughe,Marseille,68,20,1.73,right,Right Winger,Cameroon,Ligue 1,5,2028,33,5,0,TRUE,0,0,0,1628,326,800000
Faris Moumbagna,Marseille,68,24,1.85,left,Centre-Forward,Cameroon,Ligue 1,5,2028,180,61,24,TRUE,9,0,1,10786,177,10000000
Désiré Doué,Stade Rennais,94,19,1.81,left,Left Winger,France,Ligue 1,5,2026,90,9,8,TRUE,2,2,1,4689,521,30000000
Amine Gouiri,Stade Rennais,94,24,1.81,right,Left Winger,Algeria,Ligue 1,5,2027,230,73,34,TRUE,6,1,1,15716,215,25000000
Ibrahim Salah,Stade Rennais,94,22,1.86,right,Left Winger,Morocco,Ligue 1,5,2027,71,15,2,TRUE,9,0,1,2482,165,4000000
Ludovic Blas,Stade Rennais,94,26,1.8,left,Right Winger,France,Ligue 1,5,2027,326,59,31,TRUE,14,1,3,22132,375,15000000
Arnaud Kalimuendo,Stade Rennais,94,22,1.78,right,Centre-Forward,France,Ligue 1,5,2027,166,63,18,TRUE,1,1,4,10329,164,20000000
Bertuğ Yıldırım,Stade Rennais,94,22,1.91,right,Centre-Forward,Türkiye,Ligue 1,5,2028,112,17,6,TRUE,3,2,0,3699,218,3500000
Angel Gomes,LOSC Lille,47,23,1.68,right,Attacking Midfield,England,Ligue 1,5,2025,222,43,41,TRUE,18,0,3,16030,373,25000000
Rémy Cabella,LOSC Lille,47,34,1.72,right,Attacking Midfield,France,Ligue 1,5,2025,456,90,67,TRUE,4,0,1,31542,350,3500000
Hákon Arnar Haraldsson,LOSC Lille,47,21,1.8,right,Left Winger,Iceland,Ligue 1,5,2028,133,24,22,TRUE,19,3,3,8454,352,9000000
Alan Virginius,LOSC Lille,47,21,1.8,right,Left Winger,France,Ligue 1,5,2027,102,14,7,TRUE,2,0,0,3898,278,3500000
Edon Zhegrova,LOSC Lille,47,25,1.81,left,Right Winger,Kosovo,Ligue 1,5,2026,189,34,36,TRUE,34,4,2,10157,299,25000000
Jonathan David,LOSC Lille,47,24,1.8,left,Centre-Forward,Canada,Ligue 1,5,2025,266,121,33,TRUE,54,28,4,19287,159,50000000
Mohamed Bayo,LOSC Lille,47,26,1.88,right,Centre-Forward,Guinea,Ligue 1,5,2027,170,64,20,TRUE,26,7,1,10748,168,5000000
Andrej Ilic,LOSC Lille,47,24,1.89,right,Centre-Forward,Serbia,Ligue 1,5,2027,168,65,22,TRUE,6,0,3,12057,185,3000000
Trévis Dago,LOSC Lille,47,19,1.85,right,Centre-Forward,France,Ligue 1,5,2026,43,12,2,FALSE,0,0,0,2497,208,200000
Jérémie Boga,OGC Nice,83,27,1.72,right,Left Winger,Cote d'Ivoire,Ligue 1,5,2027,332,49,35,TRUE,21,2,3,19552,399,15000000
Sofiane Diop,OGC Nice,83,24,1.75,right,Left Winger,Morocco,Ligue 1,5,2027,183,24,15,TRUE,0,0,0,10707,446,12000000
Brahimi,OGC Nice,83,24,1.83,left,Left Winger,Algeria,Ligue 1,5,2026,181,28,23,TRUE,4,0,0,9855,352,3000000
Ilie,OGC Nice,83,21,1.85,right,Left Winger,Romania,Ligue 1,5,2027,109,13,17,TRUE,7,2,0,6032,464,3000000
Aliou Baldé,OGC Nice,83,21,1.7,right,Left Winger,Guinea,Ligue 1,5,2028,65,16,8,TRUE,1,0,0,3443,215,800000
Mohamed-Ali Cho,OGC Nice,83,20,1.82,left,Right Winger,France,Ligue 1,5,2028,116,8,8,TRUE,4,0,0,4590,574,10000000
Bouanani,OGC Nice,83,19,1.77,left,Right Winger,Algeria,Ligue 1,5,2027,70,11,8,TRUE,5,0,0,3650,332,5000000
Terem Moffi,OGC Nice,83,25,1.88,left,Centre-Forward,Nigeria,Ligue 1,5,2027,193,82,12,TRUE,18,4,0,14189,173,25000000
Gaëtan Laborde,OGC Nice,83,30,1.81,left,Centre-Forward,France,Ligue 1,5,2026,391,125,43,TRUE,5,0,0,27973,224,10000000
Evann Guessand,OGC Nice,83,23,1.88,right,Centre-Forward,Cote d'Ivoire,Ligue 1,5,2026,171,29,13,TRUE,1,0,0,8493,293,8000000
David Pereira da Costa,Lens,74,23,1.68,right,Attacking Midfield,Portugal,Ligue 1,5,2026,132,11,16,TRUE,6,1,0,6854,623,8000000
Angelo Fulgini,Lens,74,27,1.82,right,Attacking Midfield,France,Ligue 1,5,2027,323,38,24,TRUE,3,0,0,21134,556,7000000
Adrien Thomasson,Lens,74,30,1.75,right,Attacking Midfield,France,Ligue 1,5,2026,381,61,46,FALSE,0,0,1,26621,436,5000000
Ayanda Sishuba,Lens,74,19,1.69,right,Attacking Midfield,Belgium,Ligue 1,5,2026,72,19,2,TRUE,10,3,0,4847,255,500000
Elye Wahi,Lens,74,21,1.81,right,Centre-Forward,France,Ligue 1,5,2028,141,47,13,TRUE,2,0,0,8172,174,35000000
Wesley Saïd,Lens,74,29,1.71,right,Centre-Forward,France,Ligue 1,5,2026,260,54,15,TRUE,1,0,0,12911,239,4000000
Florian Sotoca,Lens,74,33,1.87,right,Centre-Forward,France,Ligue 1,5,2026,294,70,37,FALSE,0,0,0,23547,336,3000000
Labeau Lascary,Lens,74,21,1.85,right,Centre-Forward,Guadeloupe,Ligue 1,5,2026,104,23,7,FALSE,0,0,0,6406,279,1000000
Doumbia,Stade Reims,178,21,1.7,right,Attacking Midfield,Mali,Ligue 1,5,2025,79,18,12,TRUE,19,8,0,4057,225,5000000
Reda Khadra,Stade Reims,178,23,1.75,right,Attacking Midfield,Germany,Ligue 1,5,2027,167,16,23,TRUE,3,0,2,8534,533,3000000
Mohamed Daramy,Stade Reims,178,22,1.8,right,Left Winger,Denmark,Ligue 1,5,2028,217,54,33,TRUE,10,1,5,13369,248,10000000
Keito Nakamura,Stade Reims,178,24,1.8,right,Left Winger,Japan,Ligue 1,5,2028,196,60,20,TRUE,10,8,0,11232,187,9000000
Mamadou Diakhon,Stade Reims,178,18,1.8,left,Left Winger,France,Ligue 1,5,2026,50,6,4,TRUE,8,1,0,2860,477,700000
Junya Ito,Stade Reims,178,31,1.76,right,Right Winger,Japan,Ligue 1,5,2026,373,64,96,TRUE,54,13,3,29246,457,8000000
Oumar Diakité,Stade Reims,178,20,1.82,right,Centre-Forward,Cote d'Ivoire,Ligue 1,5,2028,73,21,12,TRUE,15,2,1,5012,239,6000000
Salama,Stade Reims,178,24,1.92,right,Centre-Forward,France,Ligue 1,5,2027,69,5,3,FALSE,0,0,0,3332,666,2000000
Adama Bojang,Stade Reims,178,20,1.91,right,Centre-Forward,The Gambia,Ligue 1,5,2028,19,8,0,TRUE,1,0,0,767,96,500000
Habib Diarra,R. Strasbourg,235,20,1.78,right,Attacking Midfield,Senegal,Ligue 1,5,2028,83,10,5,TRUE,4,0,0,5572,557,18000000
Nordine Kandil,R. Strasbourg,235,22,1.67,left,Left Winger,Morocco,Ligue 1,5,2025,72,6,11,TRUE,2,0,0,3756,626,1000000
Dany Jean,R. Strasbourg,235,21,1.7,left,Left Winger,Haiti,Ligue 1,5,2026,69,12,9,TRUE,6,1,0,4612,384,350000
Aboubacar Ali Abdallah,R. Strasbourg,235,18,1.82,right,Left Winger,France,Ligue 1,5,2027,45,10,1,TRUE,2,0,0,2474,247,150000
Dilane Bakwa,R. Strasbourg,235,21,1.8,left,Right Winger,France,Ligue 1,5,2027,109,12,19,TRUE,19,2,0,6711,559,10000000
Jérémy Sebas,R. Strasbourg,235,21,1.87,right,Right Winger,Martinique,Ligue 1,5,2026,50,12,1,TRUE,5,0,0,2443,204,500000
Emanuel Emegha,R. Strasbourg,235,21,1.95,right,Centre-Forward,Netherlands,Ligue 1,5,2028,129,36,10,TRUE,4,0,1,7522,209,12000000
Milos Lukovic,R. Strasbourg,235,18,1.84,right,Centre-Forward,Serbia,Ligue 1,5,2028,120,49,7,TRUE,5,0,3,8970,183,5000000
Moïse Sahi Dion,R. Strasbourg,235,22,1.75,left,Centre-Forward,Cote d'Ivoire,Ligue 1,5,2026,79,28,2,TRUE,1,1,0,3627,130,2000000
Yann Gboho,Toulouse,162,23,1.78,right,Attacking Midfield,France,Ligue 1,5,2026,155,19,18,TRUE,3,0,1,8432,444,4000000
Niklas Schmidt,Toulouse,162,26,1.84,right,Attacking Midfield,Germany,Ligue 1,5,2027,307,60,77,TRUE,8,3,2,19446,324,3000000
Denis Genreau,Toulouse,162,25,1.75,right,Attacking Midfield,Australia,Ligue 1,5,2025,131,8,11,TRUE,5,0,2,7446,931,1500000
César Gelabert,Toulouse,162,23,1.82,right,Attacking Midfield,Spain,Ligue 1,5,2027,117,7,10,TRUE,0,0,1,6296,899,1500000
Naatan Skyttä,Toulouse,162,22,1.7,left,Attacking Midfield,Finland,Ligue 1,5,2025,106,23,7,TRUE,20,8,3,5648,246,400000
Aron Dønnum,Toulouse,162,26,1.78,left,Right Winger,Norway,Ligue 1,5,2028,249,42,35,TRUE,7,1,0,17177,409,3500000
Shavy Babicka,Toulouse,162,24,1.79,right,Right Winger,Gabon,Ligue 1,5,2027,105,17,22,TRUE,11,1,2,6423,378,2000000
Bangré,Toulouse,162,23,1.71,left,Right Winger,Burkina Faso,Ligue 1,5,2025,105,20,10,TRUE,9,0,1,5107,255,800000
Frank Magri,Toulouse,162,24,1.78,right,Centre-Forward,Cameroon,Ligue 1,5,2026,116,36,10,TRUE,9,2,0,7393,205,3000000
Téji Savanier,Montpellier,147,32,1.72,right,Attacking Midfield,France,Ligue 1,5,2026,398,73,83,TRUE,1,0,0,30812,422,9000000
Wahbi Khazri,Montpellier,147,33,1.76,right,Left Winger,Tunisia,Ligue 1,5,2025,490,107,61,TRUE,74,25,1,34053,318,1800000
Arnaud Nordin,Montpellier,147,26,1.7,left,Right Winger,France,Ligue 1,5,2025,240,43,19,TRUE,1,0,0,13884,323,8000000
Mousa Tamari,Montpellier,147,27,1.78,left,Right Winger,Jordan,Ligue 1,5,2026,201,34,24,TRUE,70,21,4,14817,436,8000000
Tanguy Coulibaly,Montpellier,147,23,1.79,left,Right Winger,France,Ligue 1,5,2026,107,8,7,FALSE,0,0,0,4785,598,2000000
Othmane Maamma,Montpellier,147,18,1.8,right,Right Winger,Morocco,Ligue 1,5,2027,41,11,2,TRUE,11,3,0,2749,250,300000
Akor Adams,Montpellier,147,24,1.9,right,Centre-Forward,Nigeria,Ligue 1,5,2027,139,54,16,TRUE,2,0,0,8444,156,10000000
Karamoko Dembélé,Stade Brestois,531,21,1.67,left,Attacking Midfield,England,Ligue 1,5,2026,75,10,14,TRUE,1,0,3,3470,347,900000
Jérémy Le Douaron,Stade Brestois,531,26,1.89,left,Left Winger,France,Ligue 1,5,2027,183,38,12,FALSE,0,0,0,9670,254,5000000
Mathias Pereira Lage,Stade Brestois,531,27,1.8,right,Left Winger,France,Ligue 1,5,2025,260,37,21,TRUE,3,0,0,15238,412,2500000
Romain Del Castillo,Stade Brestois,531,28,1.72,left,Right Winger,France,Ligue 1,5,2027,273,31,54,TRUE,9,0,1,16047,518,10000000
Ludovic Ajorque,Stade Brestois,531,30,1.96,left,Centre-Forward,France,Ligue 1,5,2025,318,92,28,FALSE,0,0,1,22429,244,3000000
Florent Mollet,FC Nantes,448,32,1.75,right,Attacking Midfield,France,Ligue 1,5,2025,384,62,39,FALSE,0,0,0,25314,408,1800000
Moses Simon,FC Nantes,448,29,1.68,right,Left Winger,Nigeria,Ligue 1,5,2026,365,68,61,TRUE,72,9,6,26023,383,12000000
Stredair Appuah,FC Nantes,448,20,1.85,right,Left Winger,France,Ligue 1,5,2026,65,7,1,TRUE,0,0,0,4178,597,500000
Sorba Thomas,FC Nantes,448,25,1.85,left,Right Winger,Wales,Ligue 1,5,2025,228,15,38,TRUE,8,0,0,16371,191,4200000
Marcus Coco,FC Nantes,448,28,1.84,right,Right Winger,Guadeloupe,Ligue 1,5,2025,281,12,14,TRUE,4,0,1,14713,1226,1500000
Mostafa Mohamed,FC Nantes,448,26,1.85,right,Centre-Forward,Egypt,Ligue 1,5,2027,260,77,22,TRUE,37,12,6,16492,214,10000000
Matthis Abline,FC Nantes,448,21,1.82,right,Centre-Forward,France,Ligue 1,5,2028,101,21,9,TRUE,5,4,0,4579,218,6000000
Ignatius Ganago,FC Nantes,448,25,1.76,right,Centre-Forward,Cameroon,Ligue 1,5,2027,177,35,10,TRUE,14,0,0,8330,238,3000000
Tino Kadewere,FC Nantes,448,28,1.83,right,Centre-Forward,Zimbabwe,Ligue 1,5,2027,234,75,23,TRUE,19,3,2,13667,182,2500000
Ismaïl Bouneb,Le Havre AC,419,18,1.82,right,Attacking Midfield,France,Ligue 1,5,2028,35,14,1,TRUE,2,0,0,2044,146,50000
Antoine Joujou,Le Havre AC,419,21,1.89,right,Left Winger,France,Ligue 1,5,2026,84,18,3,TRUE,0,0,1,4150,231,1500000
Issa Soumaré,Le Havre AC,419,23,1.82,right,Left Winger,Senegal,Ligue 1,5,2026,141,18,12,FALSE,0,0,0,9180,510,800000
Kandet Diawara,Le Havre AC,419,24,1.8,right,Left Winger,Guinea,Ligue 1,5,2026,100,9,6,TRUE,2,2,0,5390,599,400000
Josué Casimir,Le Havre AC,419,22,1.78,right,Right Winger,Guadeloupe,Ligue 1,5,2025,130,10,16,TRUE,3,3,1,8500,850,3000000
Emmanuel Sabbi,Le Havre AC,419,26,1.78,right,Right Winger,United States,Ligue 1,5,2027,216,48,25,TRUE,1,0,1,14401,300,2500000
Samuel Grandsir,Le Havre AC,419,27,1.7,right,Right Winger,France,Ligue 1,5,2025,272,27,24,TRUE,4,0,1,15765,584,1500000
Nassim Chadli,Le Havre AC,419,23,1.81,left,Right Winger,Morocco,Ligue 1,5,2025,94,11,6,TRUE,2,1,1,5117,465,600000
Andy Logbo,Le Havre AC,419,20,1.88,left,Centre-Forward,France,Ligue 1,5,2025,45,12,0,TRUE,3,2,1,2506,209,800000
Yann Kitala,Le Havre AC,419,26,1.86,left,Centre-Forward,DR Congo,Ligue 1,5,2025,172,34,10,TRUE,1,0,2,8688,256,700000
Steve Ngoura,Le Havre AC,419,19,1.93,right,Centre-Forward,France,Ligue 1,5,2026,88,31,2,TRUE,2,4,1,5119,165,400000
Augustine Boakye,Saint-Étienne,524,23,1.78,left,Attacking Midfield,Ghana,Ligue 1,5,2028,121,30,25,TRUE,0,0,0,8083,269,3000000
Antoine Gauthier,Saint-Étienne,524,20,1.75,left,Attacking Midfield,France,Ligue 1,5,2025,45,2,2,FALSE,0,0,0,3091,1546,50000
Ben Old,Saint-Étienne,524,21,1.73,left,Left Winger,New Zealand,Ligue 1,5,2028,106,11,16,TRUE,4,0,0,6132,557,400000
Zuriko Davitashvili,Saint-Étienne,524,23,1.75,right,Right Winger,Georgia,Ligue 1,5,2028,196,30,19,TRUE,39,6,0,13283,443,3000000
Mathieu Cafaro,Saint-Étienne,524,27,1.75,right,Right Winger,France,Ligue 1,5,2025,195,29,25,FALSE,0,0,0,12910,445,2500000
Ibrahim Sissoko,Saint-Étienne,524,28,1.92,right,Centre-Forward,Mali,Ligue 1,5,2026,200,69,12,TRUE,8,1,0,12666,184,2500000
Ibrahima Wadji,Saint-Étienne,524,29,1.75,right,Centre-Forward,Senegal,Ligue 1,5,2025,181,64,12,TRUE,11,4,2,11819,185,1000000
Kévin Danois,AJ Auxerre,495,20,1.67,right,Attacking Midfield,France,Ligue 1,5,2028,75,8,0,TRUE,5,2,0,4927,616,100000
Mercier,AJ Auxerre,495,21,1.74,right,Left Winger,France,Ligue 1,5,2025,81,7,7,TRUE,0,0,0,4525,646,300000
Gauthier Hein,AJ Auxerre,495,27,1.7,left,Right Winger,France,Ligue 1,5,2026,231,36,24,FALSE,0,0,3,14656,407,3000000
Lassine Sinayoko,AJ Auxerre,495,24,1.86,right,Right Winger,Mali,Ligue 1,5,2025,135,26,14,TRUE,20,6,0,7786,299,2500000
Eros Maddy,AJ Auxerre,495,23,1.77,right,Right Winger,Netherlands,Ligue 1,5,2026,143,6,21,TRUE,2,0,1,7333,1222,250000
Florian Ayé,AJ Auxerre,495,27,1.84,right,Centre-Forward,France,Ligue 1,5,2026,265,71,21,TRUE,3,0,1,16516,233,1800000
Ado Onaiwu,AJ Auxerre,495,28,1.8,right,Centre-Forward,Japan,Ligue 1,5,2026,336,96,30,TRUE,3,3,4,18016,188,1800000
Theo Bair,AJ Auxerre,495,24,1.91,right,Centre-Forward,Canada,Ligue 1,5,2028,136,23,11,TRUE,3,1,0,6239,271,1000000
Ousmane Camara,AJ Auxerre,495,22,1.84,left,Centre-Forward,Guinea,Ligue 1,5,2027,87,35,7,TRUE,1,0,0,5790,165,700000
Himad Abdelli,Angers SCO,1251,24,1.85,right,Attacking Midfield,Algeria,Ligue 1,5,2026,191,23,14,TRUE,3,0,0,12440,541,4000000
Farid El Melali,Angers SCO,1251,27,1.68,right,Left Winger,Algeria,Ligue 1,5,2025,153,19,13,TRUE,2,0,0,7562,398,1500000
Sidiki Chérif,Angers SCO,1251,17,1.85,right,Left Winger,France,Ligue 1,5,2026,42,19,0,TRUE,0,0,0,2661,140,100000
Allevinah,Angers SCO,1251,29,1.72,right,Right Winger,Gabon,Ligue 1,5,2027,209,27,17,TRUE,26,8,0,13481,499,2000000
Zinedine Ferhat,Angers SCO,1251,31,1.8,right,Right Winger,Algeria,Ligue 1,5,2025,372,33,88,TRUE,13,0,3,28498,864,1500000
Justin-Noël Kalumba,Angers SCO,1251,19,1.71,right,Right Winger,France,Ligue 1,5,2026,50,3,2,TRUE,0,0,0,3199,166,800000
Loïs Diony,Angers SCO,1251,31,1.83,right,Centre-Forward,France,Ligue 1,5,2025,295,69,38,FALSE,0,0,1,18000,261,2000000
Ibrahima Niane,Angers SCO,1251,25,1.87,right,Centre-Forward,Senegal,Ligue 1,5,2025,199,37,6,TRUE,14,6,0,9938,269,1000000
Esteban Lepaul,Angers SCO,1251,24,1.77,right,Centre-Forward,France,Ligue 1,5,2027,128,48,6,FALSE,0,0,0,7372,154,800000
Adrien Hunou,Angers SCO,1251,30,1.79,right,Centre-Forward,France,Ligue 1,5,2025,320,66,15,TRUE,12,2,1,17596,267,700000
Guédé Nadje,Angers SCO,1251,20,1.84,right,Centre-Forward,France,Ligue 1,5,2026,43,11,1,FALSE,0,0,0,2764,251,50000
